,49,49.1,49.2,49.3,49.4,49.5,49.6,49.7,49.8,49.9,50,50.1,50.2,50.3,50.4,50.5,50.6,50.7,50.8,50.9,51,51.1,51.2,51.3,51.4,51.5,51.6,51.7,51.8,51.9,52,52.1,52.2,52.3,52.4,52.5,52.6,52.7,52.8,52.9,53,53.1,53.2,53.3,53.4,53.5,53.6,53.7,53.8,53.9,54,54.1,54.2,54.3,54.4,54.5,54.6,54.7,54.8,54.9,55,55.1,55.2,55.3,55.4,55.5,55.6,55.7,55.8,55.9,56,56.1,56.2,56.3
23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,b,b,,,,,,,,,,,,,,,,,,,,,,
22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,b,b,b,b,,,,,,,ob,ob,os,,,,,,,,,,,
22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,b,b,b,b,b,,,,,ob,ob,os,,,,,,,,,,,
22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,ob,ob,os,os,,,,,,,,,,
22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,b,b,b,b,b,b,b,b,ob,ob,os,os,,,,,,,,,,
22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,b,b,b,b,b,b,b,b,ob,ob,ob,os,,,,,,,,,,
22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,ob,ob,os,,,,,,,,,,
22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,ob,os,,,,,,,,,,
22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,ob,os,,,,,,,,,
22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,ob,os,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,os,,,,,,,,,
21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,ob,ob,ob,b,b,b,b,b,b,b,b,b,os,,,,,,,,,
21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,ob,ob,ob,ob,b,b,b,b,b,b,b,b,b,,,,,,,,,
21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,b,ob,os,os,os,b,b,b,b,b,b,b,b,ob,,,,,,,,
21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,b,os,os,os,os,os,b,b,b,b,b,b,b,b,os,,,,,,,
21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,b,b,os,os,os,os,os,s,b,b,b,b,b,b,b,s,s,,,,,,
21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,bs,bs,bs,bs,os,os,os,os,os,os,s,s,s,s,s,s,s,s,s,,,,,,
21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,ob,ob,ob,ob,os,os,os,os,os,os,s,s,s,s,s,s,s,s,s,s,s,,,,
21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,bs,ob,ob,os,os,os,os,os,os,os,s,s,s,s,s,s,s,s,s,s,s,s,,,
21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,bs,ob,os,os,os,os,os,os,os,os,s,s,s,s,s,s,os,s,s,s,s,s,s,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,bs,os,os,os,os,s,s,s,s,s,s,s,s,s,s,os,os,os,os,os,os,s,s,,
20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,bs,bs,os,os,os,s,s,s,s,s,s,s,s,s,s,s,s,os,od,od,od,od,od,od,,
20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,bs,os,os,os,s,s,s,s,s,s,s,s,s,s,s,s,d,od,od,od,od,od,od,od,,
20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,os,os,os,os,s,s,s,s,s,s,s,s,s,s,s,s,d,od,od,od,od,,,,,
20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,os,os,os,os,s,s,s,s,s,s,s,s,s,s,s,s,d,d,od,od,od,,,,,,
20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,os,os,os,s,s,s,s,s,s,s,s,s,s,s,s,d,d,od,od,od,,,,,,,
20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,s,s,s,s,s,s,s,s,s,s,s,s,s,s,d,d,d,d,od,d,d,,,,,,
20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,s,s,s,s,s,s,s,s,s,s,s,s,s,s,d,d,d,d,d,d,d,d,,,,,
20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,s,s,s,s,s,s,s,s,s,s,s,s,s,d,d,d,d,d,d,d,d,od,,,,,
20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,bs,s,s,s,s,s,s,s,s,s,s,s,s,s,d,d,d,d,d,d,d,d,od,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,bs,bs,bs,s,s,s,s,s,s,s,d,d,d,s,d,d,d,d,d,d,d,d,d,od,od,,,,,
19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,bs,bs,bs,bs,s,s,s,s,s,s,s,d,d,d,d,d,d,d,d,d,d,d,d,od,od,,,,,,
19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,bs,bs,bs,bs,bs,bs,s,s,s,s,s,d,d,d,d,d,d,d,d,d,od,,,,,,,,,,,
19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,bs,bs,bs,bs,bs,bs,s,s,s,s,s,d,d,d,d,d,d,d,d,od,od,,,,,,,,,,,,
19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,bs,bs,bs,bs,bs,bs,s,s,s,s,s,s,s,d,d,d,d,d,od,od,od,,,,,,,,,,,,,,
19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,bs,bs,bs,bs,bs,s,s,s,s,s,s,s,s,d,d,od,od,od,,,,,,,,,,,,,,,,,,
19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bs,bs,bs,bs,bs,os,os,os,os,s,s,s,s,s,s,s,d,d,od,od,od,,,,,,,,,,,,,,,,,,,
19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,os,os,bs,os,os,os,os,os,os,os,os,s,s,s,s,s,s,s,d,od,od,od,od,,,,,,,,,,,,,,,,,,,
19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,os,os,os,os,os,os,os,os,os,os,os,os,os,os,s,s,s,s,s,d,d,od,od,od,,,,,,,,,,,,,,,,,,,,
19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,os,os,os,os,os,os,os,os,os,os,os,os,os,os,os,os,s,s,s,s,d,d,od,od,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,os,os,os,os,os,os,os,os,os,os,os,os,os,os,os,os,os,os,os,os,os,s,s,s,s,d,d,od,,,,,,,,,,,,,,,,,,,,,,,
18.9,,,,,,,,,,,,,,,,,,,,,t,t,t,t,t,os,os,os,os,os,os,os,os,os,os,os,os,os,os,os,os,os,os,s,s,s,s,d,d,d,od,,,,,,,,,,,,,,,,,,,,,,,
18.8,,,,,,,,,,,,,,,,,t,t,t,t,t,t,t,t,t,os,os,os,os,os,os,os,os,os,s,s,s,s,os,os,os,os,s,s,s,s,s,d,d,d,,,,,,,,,,,,,,,,,,,,,,,,
18.7,,,,,,,,,,,,,,t,t,t,t,t,t,t,t,t,t,s,s,s,s,s,s,os,s,s,s,s,,,s,s,s,s,s,s,s,s,s,s,d,d,d,,,,,,,,,,,,,,,,,,,,,,,,,
18.6,,,,,,,,,,,,t,t,t,t,t,t,t,t,t,t,s,s,s,,,,,,,,,,,,,,,,,s,s,s,s,s,d,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,
18.5,,,,,,,,,,t,t,t,t,t,t,t,t,t,t,t,s,,,,,,,,,,,,,,,,,,,,,s,s,s,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.4,,,,,,,t,t,t,t,t,t,t,t,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.3,,,,,td,td,td,t,t,t,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.2,,,,td,td,td,td,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.1,,td,td,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
